PostID;AuthorsWhoFavoritedthePost
0;'mother_pipe'
0; 'novel_bill'
0; 'certain_location'
0; 'animal_substance'
0; 'main_economics'
0; 'thick_focus'
0; 'stock_responsibility'
0; 'red_audience'
0; 'double_summer'
0; 'otherwise_white'
0; 'money_platform'
0; 'silly_rule'
0; 'independent_author'
0; 'rough_chest'
0; 'wooden_slide'
0; 'legal_forever'
0; 'mission_glass'
0; 'unlikely_impact'
0; 'mountain_log'
0; 'home_flight'
0; 'double_text'
0; 'work_chance'
0; 'dear_budget'
0; 'professional_bit'
0; 'joint_youth'
0; 'cold_muscle'
0; 'savings_resist'
0; 'straight_balance'
0; 'comfortable_mark'
0; 'long_brave'
0; 'only_major'
0; 'airline_dinner'
0; 'background_capital'
1;'chicken_depth'
1; 'willing_independent'
1; 'ago_conversation'
1; 'financial_kid'
1; 'whole_extension'
1; 'fine_throat'
1; 'single_finding'
1; 'either_towel'
1; 'cold_prize'
1; 'drunk_health'
1; 'flat_matter'
1; 'evening_drawer'
1; 'expensive_drawer'
1; 'strict_philosophy'
1; 'chance_sir'
1; 'substantial_tune'
1; 'overall_database'
1; 'southern_river'
1; 'boring_support'
1; 'successful_steak'
1; 'practical_pain'
1; 'clean_reveal'
1; 'positive_effect'
1; 'private_concept'
1; 'electrical_pension'
1; 'amazing_call'
1; 'unhappy_warning'
1; 'prior_team'
1; 'smart_definition'
1; 'complete_science'
1; 'practical_shape'
1; 'joint_script'
1; 'content_blow'
1; 'kitchen_jump'
1; 'savings_thanks'
1; 'special_park'
1; 'dress_passage'
1; 'same_river'
1; 'fat_collection'
1; 'sensitive_wing'
1; 'plus_local'
1; 'willing_fault'
1; 'these_ground'
1; 'designer_blank'
1; 'personal_dimension'
1; 'good_paper'
1; 'cheap_client'
2;'anxious_joke'
2; 'overall_establishment'
2; 'motor_problem'
2; 'fine_quote'
2; 'healthy_version'
2; 'bright_local'
2; 'wise_advertising'
2; 'slight_background'
2; 'dry_surround'
2; 'ok_single'
2; 'kind_camp'
2; 'brilliant_bathroom'
2; 'nearby_cheek'
2; 'wise_lay'
2; 'different_housing'
2; 'wild_size'
2; 'extension_flight'
2; 'global_square'
2; 'latter_run'
2; 'slow_climate'
2; 'which_tough'
2; 'angry_track'
2; 'plane_gap'
2; 'another_function'
2; 'equal_moment'
2; 'sad_somewhere'
2; 'legal_silver'
2; 'open_project'
2; 'guilty_strike'
2; 'that_percentage'
2; 'suspicious_increase'
2; 'much_put'
2; 'informal_bug'
2; 'feeling_main'
2; 'fun_finding'
2; 'waste_hurt'
2; 'tight_afternoon'
2; 'master_hide'
2; 'female_lesson'
2; 'emergency_call'
2; 'cute_shake'
2; 'swimming_watch'
2; 'then_grocery'
2; 'smooth_connection'
2; 'valuable_stupid'
2; 'savings_investment'
2; 'individual_cancel'
3;'according_population'
3; 'extra_bad'
3; 'regular_prompt'
3; 'every_penalty'
3; 'bitter_push'
3; 'dangerous_theory'
3; 'external_gap'
3; 'conscious_international'
3; 'financial_permission'
