PostID;AuthorsWhoLikedthePost
0;'brave_apple'
0; 'national_young'
0; 'even_listen'
0; 'male_feeling'
0; 'big_drawer'
0; 'honest_talk'
0; 'known_broad'
0; 'decent_silly'
0; 'basic_go'
0; 'weak_church'
0; 'regular_competition'
0; 'designer_screen'
0; 'parking_reputation'
0; 'odd_insurance'
0; 'additional_month'
0; 'winter_lunch'
0; 'positive_effect'
0; 'financial_command'
0; 'international_pause'
0; 'whole_contest'
0; 'such_memory'
0; 'traditional_position'
0; 'brilliant_suspect'
0; 'salt_alternative'
0; 'acceptable_owner'
0; 'female_guide'
0; 'financial_photo'
0; 'day_soft'
0; 'glad_life'
0; 'yellow_law'
0; 'public_presentation'
0; 'temporary_mistake'
0; 'efficient_ordinary'
0; 'junior_common'
0; 'game_mine'
0; 'massive_experience'
0; 'major_refuse'
0; 'minimum_force'
0; 'eastern_ability'
0; 'busy_director'
0; 'civil_procedure'
0; 'real_kitchen'
0; 'strong_funeral'
0; 'more_shop'
0; 'subject_temporary'
0; 'living_living'
0; 'funny_royal'
0; 'what_farm'
0; 'natural_impression'
0; 'patient_heat'
0; 'negative_comment'
0; 'angry_clue'
0; 'business_current'
0; 'professional_she'
0; 'financial_community'
0; 'internal_airline'
0; 'dress_expert'
0; 'perfect_departure'
0; 'chance_way'
0; 'neither_road'
0; 'familiar_bathroom'
0; 'evening_demand'
0; 'whole_joint'
0; 'busy_plane'
0; 'potential_repair'
0; 'psychological_fan'
0; 'apart_kiss'
1;'weird_silly'
1; 'according_dead'
1; 'sufficient_article'
1; 'useful_recipe'
1; 'aware_incident'
1; 'general_exit'
1; 'dress_forever'
1; 'visible_jury'
1; 'left_many'
1; 'which_sugar'
1; 'business_passage'
1; 'creative_fun'
1; 'every_fuel'
1; 'clean_base'
1; 'historical_company'
1; 'primary_platform'
1; 'good_worth'
1; 'working_highway'
1; 'tiny_working'
1; 'professional_water'
1; 'confident_promise'
1; 'brilliant_move'
1; 'beginning_morning'
1; 'international_kid'
1; 'nice_rate'
1; 'neither_train'
1; 'then_variety'
1; 'ugly_house'
1; 'slow_performance'
1; 'anxious_resolution'
1; 'east_meaning'
1; 'upstairs_shoe'
1; 'connect_cup'
1; 'sad_box'
1; 'representative_memory'
1; 'immediate_mark'
1; 'able_responsibility'
1; 'female_shake'
1; 'sweet_virus'
1; 'famous_buy'
1; 'loud_join'
1; 'cheap_doctor'
1; 'true_specialist'
1; 'annual_oven'
1; 'yellow_gain'
1; 'pregnant_blame'
1; 'able_cookie'
1; 'empty_engineer'
1; 'capable_effect'
1; 'latter_challenge'
1; 'similar_joke'
1; 'proud_limit'
1; 'dry_arrival'
1; 'flat_current'
1; 'spare_interest'
1; 'formal_stage'
1; 'electrical_soup'
1; 'automatic_parent'
1; 'aware_star'
1; 'sad_beyond'
1; 'such_half'
1; 'prior_ball'
1; 'game_rain'
1; 'loose_investment'
1; 'representative_sleep'
1; 'natural_proof'
1; 'drunk_car'
1; 'day_hide'
1; 'comfortable_arm'
1; 'stupid_tennis'
1; 'separate_basis'
1; 'historical_sport'
1; 'sick_soft'
1; 'exciting_site'
1; 'heavy_notice'
1; 'same_raw'
1; 'express_life'
1; 'western_distance'
1; 'recent_station'
1; 'familiar_bathroom'
1; 'time_chain'
1; 'late_implement'
1; 'medical_claim'
1; 'secure_garage'
1; 'then_set'
1; 'minor_surprise'
1; 'life_assist'
1; 'able_feeling'
1; 'stock_noise'
1; 'cold_lady'
1; 'entire_judge'
1; 'select_storm'
1; 'serious_hat'
1; 'happy_position'
1; 'clear_green'
1; 'left_efficiency'
2;'curious_argument'
2; 'serious_nose'
2; 'administrative_library'
2; 'sexual_resident'
2; 'particular_end'
2; 'least_usual'
2; 'conscious_international'
2; 'feeling_cat'
2; 'suitable_instance'
2; 'another_coffee'
2; 'each_morning'
2; 'senior_surgery'
2; 'severe_extreme'
2; 'consistent_royal'
2; 'opening_skin'
2; 'official_skill'
2; 'pleasant_leave'
2; 'outside_future'
2; 'born_young'
2; 'complex_disaster'
2; 'wine_web'
2; 'soft_bench'
2; 'brown_future'
2; 'these_ground'
2; 'secure_post'
2; 'wooden_coach'
2; 'fair_stomach'
2; 'double_permission'
2; 'scared_friend'
2; 'quick_speed'
2; 'tough_grocery'
2; 'shot_dimension'
2; 'legal_office'
2; 'purple_choice'
2; 'lonely_drama'
2; 'grand_contact'
2; 'distinct_chance'
2; 'same_raw'
2; 'kind_other'
3;'away_special'
3; 'impossible_entertainment'
3; 'desperate_animal'
3; 'complex_specialist'
3; 'action_fat'
3; 'plastic_mate'
3; 'much_army'
3; 'born_help'
3; 'kind_closet'
3; 'specialist_month'
3; 'bitter_sand'
3; 'practical_length'
3; 'entire_plate'
3; 'his_working'
3; 'able_feeling'
3; 'either_towel'
3; 'subject_room'
3; 'lucky_indication'
4;'boring_damage'
4; 'extra_hotel'
4; 'designer_pension'
4; 'objective_warning'
4; 'routine_creative'
4; 'impressive_hour'
4; 'ugly_house'
4; 'environmental_time'
4; 'subject_profession'
4; 'friendly_homework'
4; 'narrow_bell'
4; 'sick_addition'
4; 'major_heart'
4; 'mother_gift'
4; 'curious_head'
4; 'hard_company'
4; 'odd_teacher'
4; 'red_keep'
4; 'yellow_name'
4; 'kitchen_safety'
4; 'brief_depth'
4; 'anxious_fly'
4; 'desperate_reputation'
4; 'southern_essay'
4; 'period_date'
4; 'south_ship'
4; 'crazy_glad'
4; 'background_north'
4; 'expert_leg'
4; 'typical_relationship'
4; 'training_depth'
4; 'native_age'
4; 'neither_function'
4; 'unhappy_spring'
4; 'senior_potato'
4; 'even_listen'
4; 'dangerous_blank'
4; 'administrative_elevator'
4; 'environmental_matter'
4; 'fine_key'
4; 'old_draw'
4; 'professional_gain'
4; 'house_strategy'
4; 'master_apartment'
4; 'practical_birth'
4; 'civil_lesson'
4; 'effective_section'
4; 'beautiful_final'
4; 'evening_strain'
5;'major_environment'
5; 'bright_significance'
5; 'mountain_coach'
5; 'busy_hotel'
5; 'these_support'
5; 'upset_damage'
5; 'ugly_sense'
5; 'hour_bowl'
5; 'embarrassed_glove'
5; 'tough_ad'
5; 'current_reveal'
5; 'minute_wing'
5; 'cultural_entrance'
5; 'savings_tower'
5; 'dress_selection'
5; 'southern_toe'
5; 'that_double'
5; 'material_familiar'
5; 'angry_county'
5; 'angry_drama'
5; 'worth_block'
5; 'still_surround'
5; 'medical_while'
5; 'several_language'
5; 'beginning_possibility'
5; 'top_injury'
5; 'professional_return'
5; 'suitable_attention'
5; 'relevant_king'
5; 'sudden_proposal'
5; 'independent_energy'
5; 'perfect_brave'
5; 'motor_throat'
5; 'slight_background'
5; 'shot_memory'
5; 'ill_screw'
5; 'typical_mine'
5; 'only_smile'
5; 'fat_answer'
5; 'other_suit'
5; 'late_cold'
5; 'chance_climate'
5; 'horror_vast'
5; 'lucky_feeling'
5; 'angry_she'
5; 'sad_action'
5; 'famous_original'
5; 'yellow_housing'
5; 'due_cup'
5; 'free_category'
5; 'false_remove'
5; 'funny_discipline'
5; 'healthy_march'
5; 'south_broad'
5; 'home_league'
5; 'crazy_drop'
5; 'yellow_computer'
5; 'chance_toe'
5; 'brave_exchange'
5; 'comprehensive_vehicle'
5; 'effective_option'
5; 'final_kiss'
5; 'least_hair'
5; 'administrative_conference'
5; 'afternoon_question'
5; 'psychological_parking'
5; 'motor_problem'
5; 'additional_month'
5; 'such_boot'
5; 'still_summer'
5; 'long_mention'
5; 'feeling_loss'
5; 'latter_mood'
5; 'winter_towel'
5; 'available_mail'
5; 'remote_bat'
5; 'formal_wear'
5; 'conscious_brush'
5; 'real_click'
5; 'green_rip'
5; 'realistic_garden'
5; 'southern_action'
5; 'still_rice'
